BRD-K91370081	COc1ccc(C[C@H]2NC[C@H](O)[C@H]2OC(C)=O)cc1
BRD-K03406345	Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
BRD-K33551950	C[C@@H]1C[C@@H]2O[C@H]2\C=C\C=C\C(=O)Cc2c(Cl)c(O)cc(O)c2C(=O)O1
BRD-K76674262	COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@H]1[C@H]2c3cc4OCOc4cc3CCN3CCC[C@]23C=C1OC
BRD-K74402642	Cc1ccc(/C=C/2\CNC/C(=C/c3ccc(C)cc3)/C2=O)cc1
BRD-A26002865	CC1CCOC(=O)\C=C\C=C/C(=O)OC2CC3OC4C=C(C)CCC4(COC(=O)C1O)C2(C)C31CO1
BRD-K37392901	Cc1ccc(C=C2CNCC(=Cc3ccc(C)cc3)C2=O)cc1
BRD-K99749624	Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)-c2cccc3[nH]nc(N)c23)c1
BRD-K13169950	Oc1ccc([N+][O-])c2cccnc12
BRD-K10573841	CC(C)CCCCCCCC\C=C\C(=O)N[C@H]1[C@H](O[C@@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2NC(C)=O)O[C@H](C[C@@H](O)[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O
BRD-K64517075	Cc1cc(O)c2C(=O)c3c(O)cc(O)c4C(=O)C(C)(C)c5cc(O)c1c2c5-c34
BRD-K06792661	O[C@H]1C=C2[C@@H](NC(=O)c3c(O)c4OCOc4cc23)[C@H](O)[C@@H]1O
BRD-A64228451	CC1C(=O)[C@H]2O[C@H]2C(=O)C1=O
BRD-A49680073	CC(C)(O)/C=C/C(=O)[C@](C)(O)C1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4C(CC(=O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@@]12C
BRD-K94325918	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(NCc4ccco4)ncnc23
BRD-K80348542	CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]4NCCc5cc(O)c(OC)cc45
BRD-A55484088	Oc1ccc2CC3N(CC4CC4)CC[C@@]45[C@@H](Oc1c24)C(=O)\C(C[C@@]35O)=C\c1ccccc1
BRD-K01976263	N[C@@H](CCl)C(=O)O
BRD-K50140147	COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1)N1CCC(CC1)N1CCN(C)CC1
BRD-A15914070	CCCCCC(O)/C=C/C=O
BRD-A34205397	CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1
BRD-A11007541	O=C1c2ccccc2C(NC2CCCCC2)\C1=C\c1ccccc1
BRD-K77908580	Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1
BRD-K15600710	COC1=CC(=N\C\1=C/c1[nH]c(C)cc1C)c1cc2ccccc2[nH]1
BRD-A02481876	CC(Nc1nc(nc2ccccc12)N3CCCC3)c4ccccc4
BRD-K07691486	CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1
BRD-K51485625	CC(C)[C@H](NC(=O)N(C)Cc1csc(n1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OCc1cncs1)Cc1ccccc1
BRD-K31912990	Nc1nc(NCC2CCC(CNS(=O)(=O)c3cccc4ccccc34)CC2)nc5ccccc15
BRD-K54233340	C(CN1CCCCC1)Oc2ccc(cc2)c3cnc4c(cnn4c3)c5ccncc5
BRD-K57546357	COc1cc(O)c2c(=O)c(coc2c1)c3ccc(O)cc3
BRD-M00539986	COc1ccc(C[C@H](C)NC[C@@H](O)c2ccc(O)c(NC=O)c2)cc1
BRD-K78373679	O=C1N=C(NCc2cccs2)S\C1=C/c1ccc2ncccc2c1
BRD-A48570745	CCC(C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C\C=C(C)\[C@@H](OC3C[C@H](OC)C(O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)\C=C\C=C3/CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2
BRD-K68174511	Nc1ccc(cn1)-c1ccc2ncc3ccc(=O)n(-c4cccc(c4)C(F)(F)F)c3c2c1
BRD-A36267905	CC(CCc1ccccc1)NC(C)C(O)c1ccc(O)cc1
BRD-A42649439	Cn1nc(N)c2cn(C3OC(CO)C(O)C3O)c4ncnc1c24
BRD-A25687296	CC[C@H]1CN2CCc3cc(OC)c(OC)cc3C2C[C@@H]1CC1NCCc2cc(OC)c(OC)cc12
BRD-K80431395	Cn1nc(N)c2cn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c3ncnc1c23
BRD-K91145395	C[C@@H]1C[C@]2(OC(=O)C)[C@H]([C@@H]3C=C(CO)C[C@@]4(O)[C@@H](C=C(C)C4=O)[C@@]13O)C2(C)C
BRD-K06817181	BrC1C(Br)C(Br)C(Br)C(Br)C1Br
BRD-A74904029	OC[C@H]1O[C@H](C(O)[C@H]1O)n2cnc3cc(Cl)c(Cl)cc23
BRD-K03109492	ClC1=C(NCCN2CCOCC2)C(=O)c2ncccc2C1=O
BRD-K52313696	CC(=O)Nc1ccc(cc1)C(=O)Nc1ccccc1N
BRD-K15409150	OC1(CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1)c1ccc(Cl)c(c1)C(F)(F)F
BRD-A48237631	CO[C@@]12[C@@H]3NC3CN1C1=C([C@@H]2COC(N)=O)C(=O)C(N)=C(C)C1=O
BRD-A11706664	Cn1nc(N)c2cn([C@@H]3O[C@H](CO)C(O)[C@@H]3O)c3ncnc1c23
BRD-A75144621	C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CC[C@@H]5[C@@H]4C[C@@H](O)[C@]4(C)C(CC[C@]54O)C4=CC(=O)OC4)C3)O[C@@H]2C)O[C@@H]1C
BRD-A94756469	C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CCC5C4C[C@@H](O)[C@]4(C)[C@H](CC[C@]54O)C4=CC(=O)OC4)C3)O[C@@H]2C)O[C@@H]1C
BRD-K93080877	C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(=O)CCl
BRD-K51290057	CC(C)(C)c1cc(cc(c1)C(C)(C)C)C(=O)C=Cc2ccc(cc2)C(=O)O
BRD-K67844266	NS(=O)(=O)OC[C@@H]1C[C@H](C[C@@H]1O)n1ccc2c(N[C@H]3CCc4ccccc34)ncnc12
BRD-K40175214	CCC(=O)N1CCN(CC1)c1ccc(cc1C(F)(F)F)-n1c2c(ccc1=O)cnc1ccc(cc21)-c1cnc2ccccc2c1
BRD-K66792149	NC1=C(Cl)C(=O)c2ccccc2C1=O
BRD-K51730347	O=c1c(c1-c1ccccc1)-c1ccccc1
BRD-A78360835	COc1c(O)c2c(=O)cc3OCOc4cc(O)c5c(=O)c(OC)c(CC(C)O)c6c(c1CC(C)O)c2c3c4c56
BRD-K15519488	C1CCN(CC1)C1(CCCCC1)c1cc2ccccc2s1
BRD-K72895815	COc1cc2c(C(=O)N(COc3cc(=O)n4cccc(OCCN5CCCCC5)c4n3)S2(=O)=O)c(c1)C(C)C
BRD-A71459254	COC1CC(O[C@H]2CC[C@]3(C=O)C4CC[C@]5(C)C(CC[C@]5(O)C4CC[C@]3(O)C2)C6=CC(=O)OC6)OC(C)C1O
BRD-A34806832	C[C@@H]1O[C@@H](O[C@H]2CC[C@]3(C)C4CC[C@]5(C)[C@H](CC[C@]5(O)C4CCC3=C2)c6ccc(=O)oc6)[C@H](O)[C@H](O)[C@H]1O
BRD-K36737713	COC(=O)c1ccc(NCc2cc(O)ccc2O)cc1
BRD-K36529613	CC(C)NCCCn1c(Sc2cc3OCOc3cc2I)nc2c(N)ncnc12
BRD-K15935639	CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1)/C=C/S(=O)(=O)C
BRD-K49294207	CCN(CC)CC1CCN(CC1)c1ncc2ncnc(Nc3ccc(F)c(Cl)c3)c2n1
BRD-K38477985	CC(C)(C)c1cc(C=C(C#N)[N+]#[C-])cc(c1O)C(C)(C)C
BRD-A56020723	CCCNC(=O)[C@H]1O[C@@H]1C(=O)N[C@@H](C(C)CC)C(=O)N2CCC[C@H]2C(=O)OC
BRD-K66175015	CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1
BRD-K00317371	OCc1ccc(s1)-c1ccc(o1)-c1ccc(CO)s1
BRD-A52193669	CC([C@H]1CC[C@@H]2[C@H]3C[C@H]4O[C@@]44[C@@H](O)C=CC(=O)[C@@]4(C)C3CC[C@@]12C)[C@@H]1CC(C)=C(CO)C(=O)O1
BRD-K33583600	Oc1ccc(cc1)\C=C\C(=O)c1ccc(O)cc1O
BRD-A50737080	[O-][N+](=O)c1cc(NC(=S)NC(NC(=O)C(c2ccccc2)c2ccccc2)C(Cl)(Cl)Cl)ccc1F
BRD-K76907295	C(Nc1nc(nnc1-c1ccccc1)-c1ccccn1)c1cccc(c1)-c1ccccc1
BRD-K14920963	OC(=O)c1ccccc1-c1c2cc(I)c(O)c(I)c2oc2c(I)c(=O)c(I)cc12
BRD-K56001384	CCCCC[C@@H]1[C@@H](OC(=O)CC(C)C)[C@H](C)OC(=O)[C@@H](NC(=O)c2cccc(NC=O)c2O)[C@@H](C)OC1=O
BRD-K53972329	N#CC[C@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12
BRD-K82823804	Oc1ccc2[nH]c3cc(c4C(=O)NC(=O)c4c3c2c1)-c1ccccc1
BRD-K17705806	CCc1ccc(OCc2ccccc2C(=O)Nc2ccc3nc(C)cc(N)c3c2)cc1
BRD-K67506692	Oc1cc(C=C(C#N)C#N)ccc1[N+](=O)[O-]
BRD-K89930444	Oc1ccc(/C=C(\C#N)/C(=O)NC2CCC(CC3CCC(CC3)NC(=O)\C(=C\c4ccc(O)c(O)c4)\C#N)CC2)cc1O
BRD-K00675675	O=C(NCCCCN1CCOCC1)c2cc3ccccc3o2
BRD-K40255344	CC(C)(C)c1cc(C=C(C#N)C#N)cc(c1O)C(C)(C)C
BRD-K96134740	CO[C@H]1[C@@H](CC(=O)O[C@H](C)C\C=C/C=C/[C@H](O)[C@H](C)C[C@H](CC=O)[C@@H]1O[C@@H]1O[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC(=O)CC(C)C)[C@@H](O)[C@H](C)O2)[C@@H]([C@H]1O)N(C)C)OC(C)=O
BRD-K16406336	CN(C)c1ccc2nc3ccc(cc3[s+]c2c1)N(C)C
BRD-K37194137	CO[C@H]1O[C@H](CO)[C@@H](OC(=O)Nc2ccccc2)[C@H](OC(=O)Nc3ccccc3c4ccccc4)[C@@H]1OC(=O)Nc5ccccc5c6ccccc6
BRD-M86331534	CN(C)c1ccc2[n+](C)c(CCc3cc(C)n(c3C)-c3ccccc3)ccc2c1
BRD-K06593056	CN1c2cc3c(cc2N=C(c2ccc(cc2)C(O)=O)c2ccccc12)C(C)(C)CCC3(C)C
BRD-A26199074	Clc1ccc(cc1)C(c2ccc(Cl)cc2)n3cc[n+](CC(OCc4ccc(Cl)cc4Cl)c5ccc(Cl)cc5Cl)c3
BRD-K35573744	COC(=O)\C=C\c1cc(O)ccc1O
BRD-A68930007	C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)C4[C@H](O)C[C@]5(C)[C@H](CC[C@]5(O)C4CC[C@]3(O)C2)C2=CC(=O)OC2)[C@H](O)[C@H](O)[C@H]1O
BRD-K11558771	Cc1cc(Cl)ccc1OCCCC(=O)NO
BRD-K63606607	C[C@@]12CC[C@H]3[C@@H](CC[C@@H]4C[C@@H](O)CC[C@@]43C)[C@@]2(O)CC[C@@H]1c5ccc(=O)oc5
BRD-A69927616	COC(=O)C1C(C(=C(C)N=C1C)C(=O)OC(C)C)c2cccc3nonc23
BRD-A24429032	Oc1ccc(CCNCC2CCc3ccccc3C2=O)cc1
BRD-K21806131	CCCCC\N=C(/N)N\N=C\c1c[nH]c2ccc(OC)cc12
BRD-K13800121	CCC(=O)NS(=O)(=O)c1ccc(cc1)-c1c(C)onc1-c1ccccc1
BRD-K94832621	CC(C)N1CCN(CC1)c1ccc(cc1)C(=O)c1c(sc2cc(O)ccc12)-c1ccc(O)cc1
BRD-K19605405	Nc1nc(NCCc2ccc(O)cc2)nc2nc(nn12)-c1ccco1
BRD-A28970875	COc1ccc(C[C@H](N)C(=O)N[C@@H]2[C@@H](CO)OC([C@@H]2O)n2cnc3c(ncnc23)N(C)C)cc1
BRD-K30296925	COc1cc(O)c(C(=O)/C=C/c2ccccc2)c(OC)c1
BRD-K95901403	Cc1ccc(cc1)S(=O)(=O)Nc1nc2ccccc2nc1Nc1ccc2nsnc2c1
BRD-K79353516	CN1Cc2ccccc2[C@H]3[C@H]1Cc4c[nH]c5cccc3c45
BRD-K64606589	CC[C@@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)CC)NC(=O)[C@H]4CCCCN4C1=O
BRD-A41722204	COc1cc(ccc1c2nc3ccncc3[nH]2)S(=O)C
BRD-A25004090	CCOc1ccccc1-n1c(=O)c2ccccc2nc1C(C)N1CCN(CC1)C(=O)COc1ccc(Cl)cc1
BRD-A60414806	CC[C@]1(O)CC2CN(C1)CCc1c([nH]c3ccccc13)[C@@](C2)(C(=O)OC)c1cc2c(cc1OC)N(C=O)[C@@H]1[C@]22CCN3CC=C[C@](CC)([C@@H]23)[C@@H](OC(C)=O)[C@]1(O)C(=O)OC
BRD-K51751936	CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C
BRD-K85402309	CN1CCN(CC1)c1ccc2nc([nH]c2c1)-c1c(N)c2c(F)cccc2[nH]c1=O
BRD-A55393291	C[C@]12CCC3C(CCC4=CC(=O)CC[C@]34C)C1CC[C@@H]2O
BRD-K19277754	CN1CC[C@H]([C@H](COc2ccc3OCOc3c2)C1)c1ccc(F)cc1
BRD-A28105619	CC(C)(O)\C=C\C(=O)[C@](C)(O)C1[C@H](O)C[C@@]2(C)C3CC=C4C(CC(=O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C
BRD-K18518344	C[C@]12CC[C@H]3[C@@H](CC[C@@H]4C[C@@H](O)CC[C@]34C)[C@@]1(O)CC[C@@H]2C1=CC(=O)OC1
BRD-K56064827	COCc1cc(O)c(O)c(O)c1c2c(O)c(O)c(O)cc2COC
BRD-A45543382	CN(C(C)=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)N[C@H]2C(O)O[C@H](CO)[C@@H](O)[C@@H]2O)c1I
BRD-A67748489	CC(=O)NC1=NN(C(C)=O)C(C)(S1)c1ccccc1
BRD-A33833419	CN(C)CC1Cc2ccccc2C1=O
BRD-K62289640	CC(C)c1ccc2c(CC[C@H]3[C@](C)(CN)CCC[C@]23C)c1
BRD-A22032524	CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
BRD-K46862739	CC(C)(C(=O)c1cccnc1)c1cccnc1
BRD-K55889443	CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C2=O)c2c(O)c(\C=N\N4CCN(CC4)C4CCCC4)c(NC(=O)\C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)c(O)c2c(O)c3C
BRD-A63346720	CC1CN(CCCn2c3ccccc3c4ccccc24)CC(C)N1
BRD-K84895041	OC(=O)COc1cccc(c1)-c1ocnc1-c1nc(c(o1)-c1ccccc1)-c1ccccc1
BRD-K99621550	COc1cc2CCN(C)[C@H]3Cc4ccc(Oc5c(O)c(OC)cc6CC[N+](C)(C)[C@H](Cc7ccc(O)c(Oc1cc23)c7)c56)cc4
BRD-K46742498	Cc1[nH]cnc1CN1CCc2c(C1=O)c1ccccc1n2C
BRD-K82109576	CC[C@]1(O)C[C@@H]2CN(C1)CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C=O)[C@@H]7[C@@]86CCN9CC=C[C@](CC)([C@H]98)[C@@H](OC(=O)C)[C@]7(O)C(=O)OC
BRD-A35989968	CC(=O)O[C@@]1(CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC12C)C(C)=O
BRD-A75368507	CN(C)C1C2CC3C(O)c4c(Cl)ccc(O)c4C(=O)C3C(=O)C2(O)C(=O)C(C(N)=O)C1=O
BRD-K94841585	OC(=O)c1cc(O)c2C(=O)c3c(O)cc(O)cc3C(=O)c2c1
BRD-K47150025	COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(F)cc4F)c(F)c3)c2cc1OC
BRD-K39111395	COc1ccc([N+][O-])c(CCc2cc(OC)ccc2[N+][O-])c1
BRD-K44432556	C(Nc1nc(nnc1-c1ccccc1)-c1ccccn1)c1ccc(cc1)-c1ccccc1
BRD-K28907958	OC(=O)c1ccc2cc(ccc2c1)-c1ccc(O)c(c1)C12CC3CC(CC(C3)C1)C2
BRD-K26669427	Fc1ccc(cc1)C(=O)/C=C/2\C(=O)Nc3ccc(Br)cc23
BRD-K04853698	C1CN(CCN1)c1ccc(cc1)-c1cnc2c(cnn2c1)-c1ccnc2ccccc12
BRD-K44849676	Oc1cc2CCCN(Cc2cc1O)C(=S)NCCc1ccc(Cl)cc1
BRD-A92161634	CN1[C@H]2CC3CC1C(O)C2O3
BRD-K37618799	Clc1ccc2nc(NC(=O)Cc3ccccc3)n3nc(nc3c2c1)-c1ccco1
BRD-K72783841	Oc1ccc(C=C(C#N)C(=O)NCCCc2ccccc2)cc1O
BRD-K39462424	CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1
BRD-K47869605	COc1cc(cc(OC)c1OC)[C@H]1[C@@H]2[C@H](COC2=O)[C@@H](O)c2cc3OCOc3cc12
BRD-K86930074	COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1
BRD-K78659596	CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O
BRD-K36007650	COc1ccc(C[C@H](N)C(=O)N[C@H]2[C@@H](O)[C@@H](O[C@@H]2CO)n3cnc4c(ncnc34)N(C)C)cc1
BRD-K34995470	CC(C)c1cc(/C=C(\C#N)/C(=O)NCCCc2ccccc2)cc(C(C)C)c1O
BRD-K39256324	CC(=O)c1c(O)c(C)c(O)c(Cc2c(O)c(C(=O)C=Cc3ccccc3)c4OC(C)(C)C=Cc4c2O)c1O
BRD-K98493452	Oc1ccc(cc1CC=C)-c1cc(CC=C)ccc1O
BRD-K41445866	CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C
BRD-A20527803	CNC(=O)C1OC(C(O)C1O)n2cnc3c(NCc4cccc(I)c4)ncnc23
BRD-A82371568	Nc1nc(Cl)nc2n(cnc12)C3OC(CO)C(O)C3F
BRD-K21672174	CS(=O)(=O)c1ccc(cc1)[C@@H](CC1CCCC1)C(=O)Nc1nccs1
