pert_id	pert_iname	Toxicity
BRD-K99749624	linifanib	NO_Toxicity
BRD-K03406345	azacitidine	YES_Toxicity
BRD-K91370081	anisomycin	YES_Toxicity
BRD-K76674262	homoharringtonine	YES_Toxicity
BRD-A02481876	importazole	NO_Toxicity
BRD-K33551950	radicicol	YES_Toxicity
BRD-A26002865	verrucarin-a	YES_Toxicity
BRD-K74402642	NSC-632839	NO_Toxicity
BRD-A25687296	emetine	YES_Toxicity
BRD-K80348542	cephaeline	YES_Toxicity
BRD-K94325918	kinetin-riboside	NO_Toxicity
BRD-K37392901	NSC-632839	NO_Toxicity
BRD-K13169950	NSC-3852	YES_Toxicity
BRD-A48237631	mitomycin-c	YES_Toxicity
BRD-K01976263	emetine	NO_Toxicity
BRD-K98548675	parthenolide	NO_Toxicity
BRD-K06792661	narciclasine	YES_Toxicity
BRD-A49680073	cucurbitacin-i	YES_Toxicity
BRD-A55484088	BNTX	NO_Toxicity
BRD-K64517075	heliomycin	NO_Toxicity
BRD-K72895815	SSR-69071	NO_Toxicity
BRD-K68174511	torin-2	YES_Toxicity
BRD-A15914070	4-hydroxy-2-nonenal	NO_Toxicity
BRD-K50140147	NVP-TAE684	NO_Toxicity
BRD-K28120222	parthenolide-(alternate-stereo)	NO_Toxicity
BRD-A36267905	buphenine	YES_Toxicity
BRD-A24643465	homoharringtonine	YES_Toxicity
BRD-K73391359	quinisocaine	NO_Toxicity
BRD-K86191271	cytosporone-b	NO_Toxicity
BRD-K69690935	curcumin	NO_Toxicity
BRD-K65814004	diphenyleneiodonium	YES_Toxicity
BRD-K01779529	fluoropyruvate	NO_Toxicity
BRD-K48923948	BMS-641988	NO_Toxicity
BRD-K51302260	KU-C103871	YES_Toxicity
BRD-K94144010	cotinine	NO_Toxicity
BRD-A71657825	2-(biphenyl-4-ylsulfonamido)pentanedioic-acid	NO_Toxicity
BRD-K91442916	CAM-9-026	NO_Toxicity
BRD-K93095519	SJ-172550	NO_Toxicity
BRD-K92301463	16,16-dimethylprostaglandin-e2	NO_Toxicity
BRD-K60219430	serdemetan	NO_Toxicity
BRD-K57545991	enalapril	NO_Toxicity
BRD-K43797669	genistein	NO_Toxicity
BRD-K55703048	latrepirdine	NO_Toxicity
BRD-A34907681	rutin	NO_Toxicity
BRD-A79903587	tegafur	NO_Toxicity
BRD-A58955223	sulforaphane	NO_Toxicity
BRD-K68065987	MK-2206	YES_Toxicity
BRD-K19894101	MST-312	NO_Toxicity
BRD-K26573499	DMAB-anabaseine	NO_Toxicity
BRD-K89274813	DMP-543	NO_Toxicity
BRD-K31699485	DMeOB	NO_Toxicity
BRD-K32330832	VER-155008	NO_Toxicity
BRD-K17378184	BP-897	YES_Toxicity
BRD-K01624546	docosatrienoic-acid	NO_Toxicity
BRD-K94920105	DR-2313	YES_Toxicity
BRD-A62182663	YK-4279	NO_Toxicity
BRD-K02526760	QS-11	NO_Toxicity
BRD-A20243730	danazol	NO_Toxicity
BRD-K48970916	danazol	NO_Toxicity
BRD-K10860596	granisetron	NO_Toxicity
BRD-A62434282	goserelin	NO_Toxicity
BRD-K59597909	phenothiazine	NO_Toxicity
BRD-A88282067	delcorine	NO_Toxicity
BRD-K37792168	denbufylline	NO_Toxicity
BRD-K98521173	desoxycortone	NO_Toxicity
BRD-K36324071	NF-449	NO_Toxicity
BRD-K17674993	diflorasone	NO_Toxicity
BRD-A35033682	eriodictyol	NO_Toxicity
BRD-A06726973	dibutyrylcyclic-gmp	NO_Toxicity
BRD-A39747742	estradiol-valerate	NO_Toxicity
BRD-K11373525	ZD-7155	YES_Toxicity
BRD-K59650319	YM-298198	NO_Toxicity
BRD-K12260308	xanthoxyline	NO_Toxicity
BRD-A20968261	WAY-213613	NO_Toxicity
BRD-K31611373	fluprostenol	NO_Toxicity
BRD-K36198571	WAY-170523	NO_Toxicity
BRD-K35240538	methylprednisolone	NO_Toxicity
BRD-K90259198	W-7	NO_Toxicity
BRD-A19374631	vinpocetine	NO_Toxicity
BRD-A96456596	FPL-55712	NO_Toxicity
BRD-A76528577	vincristine	YES_Toxicity
BRD-A22783572	vinblastine	YES_Toxicity
BRD-K66944906	fraxidin	NO_Toxicity
BRD-K08998509	fananserin	NO_Toxicity
BRD-K22878149	SB-205607	NO_Toxicity
BRD-A45499626	UBP-302	NO_Toxicity
BRD-A30815329	felodipine	YES_Toxicity
BRD-K28029915	dolasetron	NO_Toxicity
BRD-K88304388	dextrorphan	YES_Toxicity
BRD-K18757346	U-46619	NO_Toxicity
BRD-K83508485	FK-888	NO_Toxicity
BRD-K48195008	ethinylestradiol	NO_Toxicity
BRD-A94624445	bucladesine	NO_Toxicity
BRD-K59633790	VU-0420363-1	NO_Toxicity
BRD-K89237706	noscapine	YES_Toxicity
BRD-K70487031	flupentixol	YES_Toxicity
BRD-A80502530	cinobufagin	YES_Toxicity
BRD-K42260897	ezetimibe	NO_Toxicity
BRD-K26134695	calpeptin	NO_Toxicity
BRD-A41301928	bongkrek-acid	NO_Toxicity
BRD-K45401373	betulinic-acid	NO_Toxicity
BRD-A39969961	eplerenone	NO_Toxicity
BRD-K08996725	zolantidine	NO_Toxicity
BRD-A99411506	esculin	NO_Toxicity
BRD-K30570479	VU-0400195-3	NO_Toxicity
BRD-A52172093	VU-0413807-2	YES_Toxicity
BRD-K12516989	zaprinast	NO_Toxicity
BRD-K17016787	estriol	NO_Toxicity
BRD-K41337261	ZM-306416	YES_Toxicity
BRD-K33425534	exemestane	NO_Toxicity
BRD-K68392338	ZK-93426	NO_Toxicity
BRD-K63089472	farnesylthioacetic-acid	NO_Toxicity
