pert_id	TAG	pert_iname	Toxicity
BRD-K33396764	92.7357	alpha-linolenic-acid	NO_Toxicity
BRD-K01976263	91.3855	emetine	NO_Toxicity
BRD-K77793136	86.8337	hydroxyfasudil	NO_Toxicity
BRD-K14696368	86.3785	9-methyl-5H-6-thia-4,5-diaza-chrysene-6,6-dioxide	NO_Toxicity
BRD-A64933752	77.2527	CV-1808	YES_Toxicity
BRD-K14965640	76.4506	ibuprofen-(S)	YES_Toxicity
BRD-K56334280	76.0622	amonafide	NO_Toxicity
BRD-K20197062	73.7582	SA-94315	NO_Toxicity
BRD-K17349619	73.4521	HLI-373	NO_Toxicity
BRD-A16311756	71.9227	profenamine	YES_Toxicity
BRD-K61951118	71.483	FG-7142	NO_Toxicity
BRD-A44551378	69.8545	LFM-A12	NO_Toxicity
BRD-A77824596	69.56	fluocinolone	NO_Toxicity
BRD-K36862742	69.1322	hydroflumethiazide	NO_Toxicity
BRD-K81376179	68.9623	TCS-359	NO_Toxicity
BRD-K15502390	68.5198	nevirapine	YES_Toxicity
BRD-K50387473	68.3391	XMD-892	NO_Toxicity
BRD-A59303141	67.2316	quinethazone	NO_Toxicity
BRD-A62057054	66.2766	MDL-11939	NO_Toxicity
BRD-A43849199	66.1815	karakoline	YES_Toxicity
BRD-K67439147	65.9562	SIB-1893	NO_Toxicity
BRD-K55748775	64.7754	SCH-28080	NO_Toxicity
BRD-A03323675	63.7478	ritonavir	NO_Toxicity
BRD-K25991148	63.5766	warfarin	YES_Toxicity
BRD-K89162000	62.6341	tandutinib	NO_Toxicity
BRD-K50938786	62.3334	ropivacaine	NO_Toxicity
BRD-K11853856	62.2258	PJ-34	NO_Toxicity
BRD-A26002865	59.7464	verrucarin-a	YES_Toxicity
BRD-A69951442	58.496	dexamethasone	NO_Toxicity
BRD-K64890080	57.4189	BI-2536	NO_Toxicity
BRD-K22385716	57.207	LY-303511	YES_Toxicity
BRD-K74112339	56.8226	acetohydroxamic-acid	NO_Toxicity
