SYMBOL	ENTREZID
ARF5	381
M6PR	4074
FKBP4	2288
CYP26B1	56603
NDUFAF7	55471
FUCA2	2519
HS3ST1	9957
SEMA3F	6405
CFTR	1080
CYP51A1	1595
USP28	57646
SLC7A2	6542
PDK4	5166
USH1C	10083
RALA	5898
BAIAP2L1	55971
CACNG3	10368
TMEM132A	54972
DVL2	1856
RPAP3	79657
SKAP2	8935
PRSS21	10942
HOXA11	3207
CX3CL1	6376
TRAPPC6A	79090
WDR54	84058
SPATA20	64847
CEACAM7	1087
RHBDD2	57414
TSR3	115939
OSBPL7	114881
YBX2	51087
ITGA3	3675
KRT33A	3883
TFAP2D	83741
CRY1	1407
PGLYRP1	8993
STARD3NL	83930
CAMK1G	57172
CD74	972
FAM76A	199870
CPA1	1357
SYPL1	6856
RANBP9	10048
CD4	920
TSPAN9	10867
QPCTL	54814
PPP5C	5536
UBR7	55148
MAP4K5	11183
INMT	11185
ERCC1	2067
GPRC5A	9052
HEBP1	50865
COX15	1355
MS4A12	54860
RGPD5	84220
XYLT2	64132
SCTR	6344
RALBP1	10928
PSD	5662
SYT13	57586
SLC7A9	11136
RTFDC1	51507
RB1CC1	9821
AKAP11	11215
PIGQ	9091
CDH17	1015
B4GALT7	11285
FAM13B	51306
CHPF2	54480
LRRC7	57554
GABARAPL2	11345
MYOC	4653
FAM136A	84908
OTC	5009
TTC17	55761
HOXC8	3224
MRI1	84245
BOD1L1	259282
TARBP1	6894
RTN4R	65078
PSMA4	5685
ZPBP	11055
LCP2	3937
DCN	1634
TNFRSF17	608
MRPS10	55173
GRN	2896
THAP3	90326
VAMP3	9341
UTS2	10911
RCN1	5954
RFC2	5982
PPP1R3F	89801
ARHGEF5	7984
NFE2L3	9603
TLL1	7092
NNAT	4826
CBLN4	140689
CLDN11	5010
FAM168A	23201
RELT	84957
PKP2	5318
YIPF1	54432
ADCK2	90956
INPP4A	3631
SLC2A3	6515
STYK1	55359
GNA11	2767
CREB3L3	84699
HDAC7	51564
MRPS35	60488
APPBP2	10513
CA11	770
ISOC2	79763
CD22	933
GSC2	2928
KCNQ1	3784
TRPM5	29850
TRIB2	28951
OTUD5	55593
GPKOW	27238
AQR	9716
ST6GALNAC1	55808
LMCD1	29995
PSMC4	5704
FNDC8	54752
CAMKK1	84254
ACAP1	9744
DERL2	51009
NOX3	50508
ANO8	57719
KDM4B	23030
ICAM3	3385
CTTNBP2	83992
ACTL6B	51412
KIF22	3835
PRSS22	64063
CEACAM1	634
YTHDC2	64848
TMEM161A	54929
FOXJ2	55810
TNFRSF1A	7132
GOLGA5	9950
CELSR3	1951
PPP2R5B	5526
PYGM	5837
BCL3	602
PIGB	9488
PDZD4	57595
PRLH	51052
FSTL3	10272
EPHA8	2046
TRIP13	9319
VASH1	22846
KRT14	3861
KRT20	54474
SPP2	6694
HSD17B10	3028
FGF4	2249
ST6GAL1	6480
TIMM21	29090
BPIFB2	80341
REXO1	57455
MKRN2	23609
GPATCH1	55094
KEAP1	9817
P2RY10	27334
TNS1	7145
NGFR	4804
NTN1	9423
ISOC1	51015
TRO	7216
MNT	4335
LAPTM4A	9741
ADAM7	8756
ASNS	440
PTPN18	26469
DRD4	1815
SCT	6343
STK10	6793
TBX21	30009
MRPS34	65993
CA12	771
MAP2K5	5607
FGF20	26281
MTMR7	9108
CPB2	1361
FAM107B	83641
CDK13	8621
TSPAN32	10077
TRAM2	9697
CLDN18	51208
ROPN1	54763
NDUFB4	4710
HEATR6	63897
ERLEC1	27248
CLIC5	53405
TMEM131	23505
TMEM38A	79041
ACTR6	64431
FAP	2191
DMRT3	58524
GAL3ST2	64090
UHRF1BP1	54887
OSTM1	28962
IMPG2	50939
SLC13A1	6561
PCDHB4	56131
PCDHB2	56133
HSPB11	51668
STRADB	55437
PLOD1	5351
OXCT1	5019
ZNF416	55659
PILRA	29992
RRN3	54700
MOGAT2	80168
AQP2	359
DIMT1	27292
EIF2AK1	27102
NME8	51314
EPDR1	54749
MRPL28	10573
HBQ1	3049
CEACAM6	4680
RBM22	55696
HSD17B2	3294
ZW10	9183
ITGB4	3691
PPP1R15A	23645
TRIP6	7205
ADAM11	4185
SLC22A4	6583
CETP	1071
MT3	4504
TFAP2C	7022
SULT2B1	6820
EPS8L1	54869
REM1	28954
PDRG1	81572
PPP1R13B	23368
TGM6	343641
RALGAPA2	57186
ESF1	51575
SIRT4	23409
TRMT6	51605
UQCRC1	7384
GMIP	51291
LAG3	3902
MLF2	8079
OTUB2	78990
TFAP4	7023
PDCD7	10081
SPG21	51324
CHRD	8646
THPO	7066
GNPTG	84572
GOLGA3	2802
EFNB1	1947
GLG1	2734
DLL3	10683
NAT14	57106
AASDH	132949
DLD	1738
ABCC6	368
CMTM6	54918
MYO15A	51168
APOH	350
SPAG7	9552
CCDC80	151887
HAUS4	54930
CEBPE	1053
OSGEP	55644
G2E3	55632
TGM1	7051
TBX15	6913
TEKT2	27285
UNC13D	201294
XYLB	9942
OR1I1	126370
ADH1A	124
KRT23	25984
CDC6	990
AAAS	8086
CBX5	23468
KLHL20	27252
FMO2	2327
DHPS	1725
RAB26	25837
PSMD5	5711
NANS	54187
SEMA4G	57715
TPSD1	23430
GSTA3	2940
MAPK13	5603
TMEM14A	28978
PRRT1	80863
ZNF184	7738
VCL	7414
SIRT1	23411
TGFBR3	7049
TMED1	11018
MZF1	7593
OCEL1	79629
PSMD8	5714
STX1B	112755
EFNA2	1943
ATP5D	513
FGF22	27006
SMIM24	284422
NDUFB7	4713
TECR	9524
TIMM13	26517
CDC34	997
MISP	126353
GADD45B	4616
MADCAM1	8174
MAPK12	6300
SERPIND1	3053
SNAP29	9342
LZTR1	8216
THAP7	80764
MMP11	4320
MIF	4282
DDTL	100037417
OSM	5008
SF3A1	10291
USP18	11274
SEC14L3	266629
SNRPD3	6634
MAPK1	5594
TCN2	6948
CRYBB3	1417
MORC2	22880
SLC25A1	6576
PLA2G3	50487
LGALS2	3957
PDXP	57026
ASPHD2	57168
LGALS1	3956
PIK3IP1	113791
SRRD	402055
CRYBB1	1414
ANKRD54	129138
MICALL1	85377
CENPM	79019
DMC1	11144
HSCB	150274
TOMM22	56993
XBP1	7494
RTCB	51493
JOSD1	9929
GTPBP1	9567
DNAL4	10126
C22orf31	25770
MIOX	55586
RHBDD3	25807
APOBEC3D	140564
RASL10A	10633
HMGXB4	10042
BIK	638
HMOX1	3162
NIPSNAP1	8508
MCM5	4174
ARSA	410
RASD2	23551
TTLL12	23170
CBX7	23492
ACR	49
CABP7	164633
TAB1	10454
PNPLA5	150379
PNPLA3	80339
MYH9	4627
TXN2	25828
EIF3D	8664
PVALB	5816
UPK3A	7380
FAM118A	55007
ST13	6767
IL2RB	3560
RBX1	9978
L3MBTL2	83746
CHADL	150356
PHF5A	84844
ACO2	50
PMM1	5372
CERK	64781
BRD1	23774
ZBED4	9889
HDAC10	83933
RIPK3	11035
PAPOLA	10914
NID2	22795
SNAPC1	6617
SUPT16H	11198
FKBP3	2287
CTSG	1511
GZMH	2999
GZMB	3002
AP4S1	11154
POLE2	5427
SOS2	6655
PYGL	5836
GNPNAT1	64841
CNIH1	10175
CGRRF1	10668
ATP6V1D	51382
PLEK2	26499
PIGH	5283
PSMA3	5684
GSTZ1	2954
TMED8	283578
SAMD15	161394
AHSA1	10598
SPTLC2	9517
RIN3	79890
ALKBH1	8846
CHGA	1113
DHRS7	51635
SIX4	51804
SLC10A1	6554
EIF5	1983
ZFYVE21	79038
MTHFD1	4522
BDKRB1	623
VRK1	7443
APEX1	328
PABPN1	8106
EFS	10278
CINP	51550
PCK2	5106
NFKBIA	4792
